GENE,gene_symbol,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
4126,MANBA,4,103542643,103717151,217,10,572886,5.2537,7.4542e-08
283807,FBXL22,15,63854327,63904627,82,9,573219,5.2508,7.5721e-08
6581,SLC22A3,6,160734405,160883613,320,14,580513,5.2396,8.048e-08
51204,TACO1,17,61643231,61695725,11,2,571544,5.2032,9.7935e-08
3112,HLA-DOB,6,32770540,32819825,269,29,577018,5.1904,1.0494e-07
493856,CISD2,4,103714224,103823964,160,4,573566,5.1643,1.2068e-07
7323,UBE2D3,4,103705540,103825050,174,4,573729,5.1578,1.2491e-07
29780,PARVB,22,44360091,44575113,285,41,571522,5.1558,1.2629e-07
2113,ETS1,11,128318656,128492453,289,36,571006,5.1488,1.3105e-07
10658,CELF1,11,47477489,47609792,73,9,579365,5.1066,1.6403e-07
200634,KRTCAP3,2,27630233,27679348,44,2,575007,5.0974,1.7213e-07
4605,MYBL2,20,42260659,42355136,161,10,575545,5.082,1.8676e-07
9784,SNX17,2,27558363,27610400,26,2,577609,5.0748,1.9393e-07
3672,ITGA1,5,52049136,52259485,525,41,572174,5.0739,1.9487e-07
169792,GLIS3,9,3814128,4335036,1563,122,571661,5.0593,2.1043e-07
29959,NRBP1,2,27616473,27675126,48,2,574184,5.0525,2.1802e-07
54535,CCHCR1,6,31100216,31161015,62,14,574840,5.0494,2.216e-07
10238,DCAF7,17,61592796,61681641,50,5,565749,5.0399,2.3293e-07
80339,PNPLA3,22,44284619,44353451,161,17,572180,5.0388,2.3425e-07
286046,XKR6,8,10743654,11093875,890,26,571242,5.0198,2.5868e-07
130557,ZNF513,2,27590098,27638733,35,3,573349,5.0176,2.6165e-07
2976,GTF3C2,2,27538716,27615243,38,3,578602,5.0021,2.8362e-07
5496,PPM1G,2,27594066,27667550,63,3,574162,4.9959,2.9282e-07
8890,EIF2B4,2,27577219,27628324,35,2,573517,4.9957,2.9314e-07
3292,HSD17B1,17,40668984,40717232,54,7,573169,4.9668,3.4039e-07
6633,SNRPD2,19,46180712,46230569,12,4,562589,4.9629,3.4728e-07
10018,BCL2L11,2,111843491,111936022,125,11,571349,4.9611,3.5045e-07
94241,TP53INP1,8,95928200,95996615,202,12,573974,4.9525,3.6636e-07
10125,RASGRP1,15,38770302,38892661,93,16,571958,4.9451,3.8055e-07
51098,IFT52,20,42184574,42285862,154,8,573838,4.9364,3.9796e-07
57410,SCYL1,11,65257537,65316182,21,3,572081,4.922,4.2833e-07
9439,MED23,6,131885106,131984379,74,9,572674,4.9171,4.3918e-07
11060,WWP2,16,69761187,69985644,298,14,573385,4.9004,4.7825e-07
79966,SCD5,4,83540690,83755010,660,40,572687,4.87,5.5803e-07
5138,PDE2A,11,72277184,72420497,242,21,572873,4.8668,5.6696e-07
10110,SGK2,20,42152566,42224317,111,15,573025,4.8645,5.738e-07
4215,MAP3K3,17,61664404,61783670,74,2,573862,4.8631,5.7769e-07
10363,HMG20A,15,77678018,77787945,132,9,573993,4.8596,5.8811e-07
3175,ONECUT1,15,53039160,53117209,102,12,571884,4.8573,5.9512e-07
6891,TAP2,6,32779610,32841547,298,31,577164,4.8394,6.5115e-07
90987,ZNF251,8,145936294,146016285,41,2,572144,4.8368,6.5966e-07
22808,MRAS,3,138031490,138134377,131,6,577981,4.8238,7.0424e-07
7103,TSPAN8,12,71508877,71586779,205,14,572973,4.8226,7.084e-07
340385,ZNF517,8,145989261,146045461,44,2,570858,4.7976,8.0287e-07
83595,SOX7,8,10571278,10623084,173,15,568752,4.7883,8.4096e-07
6480,ST6GAL1,3,186613315,186806341,305,39,571584,4.7857,8.5204e-07
3304,HSPA1B,6,31754964,31808032,5,2,579193,4.7811,8.716e-07
57819,LSM2,6,31755169,31809761,6,3,578175,4.7787,8.8217e-07
80778,ZNF34,8,145988499,146047725,49,2,571012,4.7739,9.0365e-07
4054,LTBP3,11,65296030,65360858,38,4,571389,4.7687,9.2703e-07
10534,SSSCA1,11,65301651,65350075,27,3,571679,4.7506,1.0142e-06
5745,PTH1R,3,46884236,46955289,54,6,573578,4.7452,1.0415e-06
54984,PINX1,8,10612473,10732394,517,17,576707,4.741,1.0635e-06
53918,PELO,5,52048774,52108451,190,19,572394,4.7402,1.0677e-06
200734,SPRED2,2,65524580,65694733,349,16,571496,4.7322,1.1105e-06
128866,CHMP4B,20,32364110,32452173,78,10,569714,4.7271,1.1389e-06
55709,KBTBD4,11,47583749,47635567,29,5,578577,4.7258,1.146e-06
23625,FAM89B,11,65304820,65351669,26,2,571601,4.7135,1.2177e-06
7326,UBE2G1,17,4162512,4304969,106,3,573054,4.7124,1.2242e-06
10670,RRAGA,9,19014372,19061023,165,16,572575,4.7108,1.2339e-06
818,CAMK2G,10,75562259,75669349,112,7,571167,4.7005,1.2975e-06
387849,REP15,12,27814428,27860566,50,8,572645,4.6941,1.3388e-06
79834,PEAK1,15,77390498,77747446,360,12,573671,4.6917,1.3548e-06
729092,AGAP5,10,75424033,75499357,38,2,573184,4.6889,1.3736e-06
347736,NME9,3,137970279,138084018,69,4,574866,4.6876,1.382e-06
8894,EIF2S2,20,32666115,32735085,55,4,573452,4.6725,1.4878e-06
151903,CCDC12,3,46953220,47058500,80,4,571505,4.6721,1.4905e-06
9398,CD101,1,117509372,117589173,143,14,572349,4.6709,1.4998e-06
6720,SREBF1,17,17704663,17775331,66,2,569701,4.6651,1.5423e-06
3788,KCNS2,8,99404250,99453025,62,9,572381,4.6523,1.6411e-06
134359,POC5,5,74960023,75048313,215,15,576890,4.6439,1.7093e-06
27086,FOXP1,3,70993865,71668140,889,73,570563,4.6376,1.7625e-06
1760,DMPK,19,46262975,46320815,83,9,574379,4.635,1.7848e-06
4634,MYL3,3,46889357,46939973,36,4,572800,4.6329,1.8028e-06
3303,HSPA1A,6,31747952,31795719,6,3,578255,4.6264,1.8608e-06
7407,VARS,6,31735295,31798712,6,3,578255,4.6264,1.8608e-06
720,C4A,6,31914834,31980457,27,9,578492,4.6234,1.8879e-06
26015,RPAP1,15,41799374,41871464,120,10,572154,4.6233,1.8882e-06
290,ANPEP,15,90318126,90393119,128,12,570987,4.619,1.928e-06
5698,PSMB9,6,32786927,32837628,248,31,576838,4.6115,1.9993e-06
284119,PTRF,17,40544467,40610506,137,13,572601,4.6103,2.0103e-06
101928499,LOC101928499,15,53082363,53132139,72,8,571575,4.6093,2.0203e-06
717,C2,6,31830562,31923449,96,15,578081,4.6034,2.0787e-06
83992,CTTNBP2,7,117340702,117548561,248,29,572315,4.6028,2.0844e-06
23788,MTCH2,11,47628858,47699206,58,6,578135,4.5878,2.2394e-06
4358,MPV17,2,27522360,27580969,22,3,584136,4.5815,2.3088e-06
114900,C1QTNF4,11,47601216,47650961,29,5,580815,4.5774,2.354e-06
10256,CNKSR1,1,26468981,26526375,118,11,572878,4.5771,2.3575e-06
4163,MCC,5,112347796,112859527,1579,45,572380,4.5739,2.3936e-06
4925,NUCB2,11,17246884,17381510,194,13,572182,4.5725,2.4091e-06
26508,HEYL,1,40079103,40140348,88,18,570923,4.5636,2.5146e-06
2778,GNAS,20,57379756,57496250,159,22,571228,4.5571,2.5927e-06
635,BHMT,5,78372604,78438113,93,9,573017,4.5549,2.6207e-06
226,ALDOA,16,30029411,30091741,10,1,573181,4.5533,2.6407e-06
10198,MPHOSPH9,12,123630943,123752785,234,8,573615,4.5457,2.7379e-06
83723,FAM57B,16,30025748,30099338,14,1,573109,4.5452,2.7447e-06
7301,TYRO3,15,41816220,41881536,114,10,571546,4.5432,2.7699e-06
57605,PITPNM2,12,123458027,123670376,166,8,573712,4.5304,2.943e-06
4547,MTTP,4,100450240,100555154,381,21,573927,4.5247,3.0238e-06
91574,C12orf65,12,123682844,123752651,143,6,573649,4.5237,3.0378e-06
29919,C18orf8,18,21048434,21123311,110,10,571697,4.5215,3.0699e-06
10919,EHMT2,6,31837536,31900464,47,8,579355,4.5161,3.1487e-06
170680,PSORS1C2,6,31095311,31142127,84,17,575452,4.5127,3.2009e-06
253461,ZBTB38,3,141008055,141178634,194,18,573043,4.51,3.242e-06
57224,NHSL1,6,138733180,138928726,354,28,571460,4.5085,3.2643e-06
80347,COASY,17,40678485,40728299,61,6,573087,4.5027,3.3552e-06
9632,SEC24C,10,75469039,75541933,64,4,573895,4.5016,3.3726e-06
254102,EHBP1L1,11,65308509,65370121,49,5,571135,4.5,3.3982e-06
4058,LTK,15,41785840,41841085,97,9,572586,4.5,3.3984e-06
26276,VPS33B,15,91531774,91600833,133,18,575099,4.4925,3.5193e-06
8509,NDST2,10,75551669,75606589,53,5,573467,4.4899,3.5623e-06
8999,CDKL2,4,76491704,76590721,164,10,573223,4.4885,3.5868e-06
22913,RALY,20,32546458,32680991,132,6,574534,4.4867,3.6164e-06
51144,HSD17B12,11,43667108,43888169,358,16,573124,4.4756,3.8101e-06
89866,SEC16B,1,177882825,177974188,274,32,575721,4.4709,3.895e-06
5531,PPP4C,16,30052297,30106698,4,1,573142,4.4707,3.898e-06
4758,NEU1,6,31816829,31865709,46,7,578471,4.4681,3.9461e-06
51460,SFMBT1,3,52923221,53115089,300,11,572903,4.4475,4.343e-06
137964,AGPAT6,8,41400702,41492520,221,15,572146,4.445,4.3941e-06
79927,FAM110D,1,26450511,26499119,78,7,572134,4.4403,4.4911e-06
8448,DOC2A,16,30006835,30058424,35,3,572941,4.4379,4.5417e-06
80736,SLC44A4,6,31820969,31881823,51,8,577884,4.4328,4.6519e-06
5889,RAD51C,17,56734934,56821703,122,11,573850,4.4327,4.6527e-06
640,BLK,8,11316521,11432108,289,15,569269,4.4314,4.6802e-06
51329,ARL6IP4,12,123429607,123477460,22,3,574460,4.4308,4.6946e-06
146378,C16orf92,16,29999655,30046023,37,3,573156,4.4266,4.7863e-06
83650,SLC35G5,8,11153495,11199695,102,7,573570,4.4201,4.9333e-06
3784,KCNQ1,11,2431221,2880340,286,34,572073,4.4103,5.1612e-06
6443,SGCB,4,52875752,52939485,48,5,571725,4.4023,5.3563e-06
63899,NSUN3,3,93746855,93855630,44,8,571992,4.3995,5.4243e-06
23403,FBXO46,19,46203887,46269151,39,4,573886,4.3982,5.4587e-06
22843,PPM1E,17,56798230,57072540,293,13,572972,4.3941,5.5606e-06
56155,TEX14,17,56624038,56804416,280,13,573808,4.3933,5.5819e-06
6132,RPL8,8,146005152,146052805,51,2,571118,4.3911,5.6397e-06
80737,VWA7,6,31723178,31780108,15,4,579990,4.3909,5.6434e-06
4482,MSRA,8,9876830,10296401,1435,55,570491,4.3883,5.711e-06
1762,DMWD,19,46276205,46331060,104,11,572147,4.3841,5.823e-06
339977,LRRC66,4,52849806,52921477,54,4,574010,4.373,6.1288e-06
6314,ATXN7,3,63814785,63999240,207,19,573049,4.3718,6.1605e-06
55692,LUC7L,16,228970,314449,22,1,575142,4.3715,6.1703e-06
5934,RBL2,16,53433351,53535560,120,5,572521,4.368,6.2709e-06
1062,CENPE,4,104016963,104154566,200,8,571962,4.3676,6.2819e-06
84514,GHDC,17,40331105,40381550,1,1,579347,4.362,6.443e-06
3060,HCRT,17,40326078,40372470,1,1,579347,4.362,6.443e-06
116150,NUS1,6,117961617,118041890,148,24,573436,4.3614,6.4622e-06
1108,CHD4,12,6669248,6751551,72,4,570893,4.3594,6.5209e-06
4839,NOP2,12,6656036,6712498,65,6,570764,4.3593,6.5236e-06
124936,CYB5D2,17,4011441,4070995,190,9,573240,4.3553,6.6436e-06
54801,HAUS6,9,19043135,19137940,288,16,572368,4.3529,6.7165e-06
5025,P2RX4,12,121612664,121681909,197,18,573682,4.3469,6.9028e-06
7107,GPR137B,1,236270832,236425314,339,17,570490,4.3468,6.9054e-06
83746,L3MBTL2,22,41566312,41637276,72,4,573226,4.3447,6.9744e-06
6911,TBX6,16,30087114,30138258,4,2,579629,4.3418,7.0666e-06
5957,RCVRN,17,9791027,9843684,91,7,570079,4.3379,7.1939e-06
9392,TGFBRAP1,2,105855861,105981148,288,21,572640,4.3361,7.2509e-06
9369,NRXN3,14,78601716,80344633,2973,160,571952,4.3359,7.2567e-06
83719,YPEL3,16,30093635,30143248,3,1,581604,4.3319,7.3911e-06
489,ATP2A3,17,3817163,3902758,108,11,572017,4.3307,7.4316e-06
26575,RGS17,6,153322026,153487389,443,20,573292,4.3289,7.4929e-06
8479,HIRIP3,16,29993642,30042417,42,3,573269,4.3282,7.5163e-06
2186,BPTF,17,65786644,65990494,206,5,573433,4.326,7.5904e-06
4864,NPC1,18,21076148,21201581,161,11,573287,4.3229,7.6993e-06
83986,ITFG3,16,249758,328960,25,2,574382,4.3219,7.7351e-06
378807,CATSPER4,1,26482119,26539033,127,13,572978,4.3217,7.7406e-06
200895,DHFRL1,3,93766766,93817233,22,5,572827,4.3156,7.9591e-06
84676,TRIM63,1,26367792,26429142,92,4,573024,4.3142,8.0106e-06
23294,ANKS1A,6,34822038,35095802,515,27,574662,4.3128,8.0599e-06
57121,LPAR5,12,6718001,6780297,15,2,567834,4.3127,8.0649e-06
4486,MST1R,3,49914435,49976311,50,4,573470,4.3097,8.172e-06
398,ARHGDIG,16,295606,343003,23,1,574638,4.308,8.2382e-06
120534,ARL14EP,11,30309649,30369165,132,10,573134,4.304,8.3864e-06
9175,MAP3K13,3,184965729,185216882,413,23,573175,4.3027,8.4347e-06
79676,OGFOD2,12,123424354,123474588,22,4,574474,4.3014,8.4858e-06
66036,MTMR9,8,11107000,11195655,213,13,571392,4.301,8.5013e-06
84894,LINGO1,15,77895369,78023490,226,21,570807,4.2942,8.7674e-06
51042,ZNF593,1,26461388,26507364,79,7,572205,4.2936,8.7907e-06
10645,CAMKK2,12,121665495,121771111,134,18,574090,4.2811,9.2992e-06
388553,BHMG1,19,46201515,46277376,48,4,574513,4.2806,9.3213e-06
7780,SLC30A2,1,26354513,26408439,86,5,572942,4.2796,9.3596e-06
7227,TRPS1,8,116410724,116748299,332,12,572983,4.2698,9.7816e-06
441608,OR5B3,11,58159938,58205882,178,6,573792,4.2627,1.0099e-05
54469,ZFAND6,15,80316910,80440735,173,14,573065,4.2606,1.0194e-05
23279,NUP160,11,47789670,47905057,141,7,576636,4.2597,1.0236e-05
89872,AQP10,1,154258592,154307801,85,10,571762,4.2572,1.0351e-05
6774,STAT3,17,40455342,40575586,182,14,571611,4.2568,1.0371e-05
285556,LOC285556,4,100547686,100610424,149,19,572471,4.2561,1.0399e-05
3694,ITGB6,2,160946182,161145349,338,27,573174,4.2507,1.0653e-05
1369,CPN1,10,101792065,101876642,124,7,570686,4.2385,1.125e-05
283899,INO80E,16,29972485,30027112,52,3,573297,4.2365,1.1353e-05
56648,EIF5A2,3,170596204,170661426,75,8,570530,4.2282,1.1777e-05
10481,HOXB13,17,46792125,46841111,57,12,572168,4.2256,1.1917e-05
5627,PROS1,3,93581881,93727934,64,7,572876,4.2252,1.1934e-05
147912,SIX5,19,46258043,46307497,58,6,577440,4.2251,1.1944e-05
64714,PDIA2,16,298118,347215,20,1,575100,4.2204,1.2193e-05
23360,FNBP4,11,47728055,47824012,108,6,574410,4.2157,1.2448e-05
219965,OR5B17,11,58115598,58161542,109,6,574561,4.2149,1.2493e-05
80145,THOC7,3,63809546,63884597,65,8,573258,4.2128,1.261e-05
83850,ESYT3,3,138118415,138207910,92,12,576058,4.1964,1.356e-05
79973,ZNF442,19,12450185,12511475,17,2,564617,4.1926,1.3787e-05
57198,ATP8B2,1,154263036,154333780,140,13,572257,4.1926,1.3789e-05
23218,NBEAL2,3,46986173,47061194,60,3,571228,4.1917,1.3844e-05
132671,SPATA18,4,52882578,52973461,109,8,568614,4.1798,1.459e-05
5140,PDE3B,11,14630191,14903605,197,13,573650,4.1779,1.471e-05
84315,MON1A,3,49936302,50002445,67,5,573572,4.1779,1.4714e-05
58160,NFE4,7,102578884,102629114,39,4,572072,4.1722,1.5085e-05
79012,CAMKV,3,49885414,49942655,53,5,572581,4.1641,1.5632e-05
23383,MAU2,19,19396496,19479563,116,7,574865,4.1637,1.5656e-05
10180,RBM6,3,49942474,50124685,201,9,574275,4.1616,1.5802e-05
150356,CHADL,22,41595861,41671935,94,6,573159,4.161,1.5844e-05
54708,MARCH5,10,94015920,94123721,105,7,573524,4.1585,1.6019e-05
101927789,LOC101927789,11,65187309,65244144,59,4,573904,4.157,1.612e-05
8050,PDHX,11,34902677,35027675,504,11,573999,4.1539,1.6341e-05
3360,HTR4,5,147820595,148069090,414,23,572041,4.153,1.6405e-05
54815,GATAD2A,19,19461642,19629741,186,8,577611,4.1519,1.6486e-05
5328,PLAU,10,75635862,75687259,74,4,569566,4.1478,1.6785e-05
348110,ARPIN,15,90433832,90491222,45,3,572100,4.1474,1.6811e-05
9340,GLP2R,17,9694152,9804269,307,23,572056,4.1438,1.7082e-05
10743,RAI1,17,17549787,17724767,149,12,572166,4.1437,1.7086e-05
133746,JMY,5,78496925,78633038,187,10,571662,4.1425,1.7174e-05
23142,DCUN1D4,4,52665010,52793003,89,3,568645,4.1401,1.736e-05
7486,WRN,8,30855778,31041277,267,19,572469,4.1396,1.7396e-05
6833,ABCC8,11,17404432,17533449,396,32,570892,4.1322,1.7968e-05
84226,C2orf16,2,27764389,27815589,55,4,578100,4.1235,1.8659e-05
29072,SETD2,3,47047898,47240467,149,6,574200,4.121,1.886e-05
91869,RFT1,3,53112499,53199480,126,7,573439,4.1199,1.8949e-05
84450,ZNF512,2,27770836,27856082,100,5,582096,4.1182,1.909e-05
146691,TOM1L2,17,17736822,17910784,158,3,573601,4.1177,1.9137e-05
25999,CLIP3,19,36495562,36558797,76,11,572957,4.1175,1.9151e-05
9365,KL,13,33555571,33650282,263,18,570944,4.1163,1.9246e-05
11162,NUDT6,4,123803799,123879159,168,16,574432,4.1127,1.955e-05
